,Дата рейса,Откуда,Куда,Продолжительность рейса,ВС,Мест на рейсе,Тип услуги,Доступных мест услуги,"Цена, руб",Месяц рейса,Предсказание - Фактический спрос
0,2018-04-01,VKO,LCA,от 3 до 6 часов,0,522,S,39,1460.0000000000002,4,23
1,2018-04-01,VKO,LCA,от 3 до 6 часов,0,522,SU,27,2555.0,4,17
2,2018-04-01,VKO,PRG,< 3 часов,1,189,F,9,803.0,4,6
3,2018-04-02,VKO,BKK,> 6 часов,0,522,A,45,1168.0,4,45
4,2018-04-02,VKO,HKT,> 6 часов,0,522,A,45,1825.0,4,45
5,2018-04-02,VKO,HKT,> 6 часов,0,522,SU,27,6205.0,4,25
6,2018-04-02,VKO,HKT,> 6 часов,0,522,S,39,4380.0,4,33
7,2018-04-02,VKO,BKK,> 6 часов,0,522,S,39,3650.0,4,32
8,2018-04-02,VKO,BKK,> 6 часов,0,522,SU,27,5475.0,4,24
9,2018-04-02,VKO,BKK,> 6 часов,0,522,A,45,1168.0,4,45
10,2018-04-02,VKO,PRG,< 3 часов,1,189,F,9,803.0,4,6
11,2018-04-02,VKO,BKK,> 6 часов,0,522,C,275,365.0,4,85
12,2018-04-03,VKO,HKT,> 6 часов,0,522,A,45,1837.5,4,45
13,2018-04-03,VKO,PUJ,> 6 часов,0,522,A,45,2572.5,4,45
14,2018-04-03,VKO,PUJ,> 6 часов,0,522,S,39,5145.0,4,35
15,2018-04-03,VKO,HKT,> 6 часов,0,522,SU,27,6247.5,4,25
16,2018-04-03,VKO,PUJ,> 6 часов,0,522,SU,27,8820.0,4,27
17,2018-04-03,VKO,HKT,> 6 часов,0,522,S,39,4410.0,4,33
18,2018-04-03,VKO,PRG,< 3 часов,1,189,F,9,808.5,4,6
19,2018-04-04,VKO,PRG,< 3 часов,1,189,F,9,808.5,4,6
20,2018-04-05,VKO,BKK,> 6 часов,0,522,A,45,1176.0,4,45
21,2018-04-05,VKO,HKT,> 6 часов,0,522,A,45,1837.5,4,45
22,2018-04-05,VKO,HKT,> 6 часов,0,522,SU,27,6247.5,4,25
23,2018-04-05,VKO,HKT,> 6 часов,0,522,S,39,4410.0,4,34
24,2018-04-05,VKO,BKK,> 6 часов,0,522,S,39,3675.0,4,33
25,2018-04-05,VKO,BKK,> 6 часов,0,522,SU,27,5512.5,4,24
26,2018-04-05,VKO,BKK,> 6 часов,0,522,A,45,1176.0,4,45
27,2018-04-05,VKO,PRG,< 3 часов,1,189,F,9,808.5,4,6
28,2018-04-05,VKO,BKK,> 6 часов,0,522,C,275,367.5,4,88
29,2018-04-06,VKO,HKT,> 6 часов,0,522,A,45,1837.5,4,45
30,2018-04-06,VKO,PUJ,> 6 часов,0,522,A,45,2572.5,4,45
31,2018-04-06,VKO,PUJ,> 6 часов,0,522,S,39,5145.0,4,35
32,2018-04-06,VKO,HKT,> 6 часов,0,522,SU,27,6247.5,4,25
33,2018-04-06,VKO,PUJ,> 6 часов,0,522,SU,27,8820.0,4,27
34,2018-04-06,VKO,HKT,> 6 часов,0,522,S,39,4410.0,4,34
35,2018-04-06,VKO,LCA,от 3 до 6 часов,0,522,S,39,1470.0,4,24
36,2018-04-06,VKO,LCA,от 3 до 6 часов,0,522,SU,27,2572.5,4,18
37,2018-04-06,VKO,PRG,< 3 часов,1,189,F,9,808.5,4,6
38,2018-04-07,VKO,HKT,> 6 часов,0,522,A,45,1837.5,4,45
39,2018-04-07,VKO,HKT,> 6 часов,0,522,SU,27,6247.5,4,26
40,2018-04-07,VKO,HKT,> 6 часов,0,522,S,39,4410.0,4,34
41,2018-04-07,VKO,PRG,< 3 часов,1,189,F,9,808.5,4,6
42,2018-04-08,VKO,PRG,< 3 часов,1,189,F,9,808.5,4,6
43,2018-04-09,VKO,BKK,> 6 часов,0,522,A,45,1176.0,4,45
44,2018-04-09,VKO,HKT,> 6 часов,0,522,A,45,1837.5,4,45
45,2018-04-09,VKO,HKT,> 6 часов,0,522,SU,27,6247.5,4,26
